"","age","race","gender","educ","pid3","pid7","ideo5","newsint","treatment","Legit_Trust","Legit_Fair","Strong_Exec","Pres_No_Others","Checks_Balances","female"
"301","65+","White",2,"4-year College Degree","Democrat",1,"Moderate","Medium","Diverse But Critiqued",0.166666666666667,0.5,0.5,0.666666666666667,0.166666666666667,"Female"
"302","65+","White",1,"Some College","Democrat",1,"Moderate","High","Diverse",0.833333333333333,0.75,0.666666666666667,0.166666666666667,0,"Male"
"303","65+","White",1,"Post-Graduate Degree","Democrat",1,"Moderate","High","Diverse",0.666666666666667,0.25,0.333333333333333,0,0,"Male"
"304","65+","White",1,"Some College","Republican",7,"Conservative","High","Diverse But Critiqued",0.666666666666667,0.75,0.833333333333333,0,0.166666666666667,"Male"
"305","65+","White",1,"Post-Graduate Degree","Republican",7,"Moderate","High","Diverse",0.666666666666667,0.75,0.333333333333333,0.166666666666667,0,"Male"
"306","65+","White",1,"Post-Graduate Degree","Independent",5,"Conservative","High","Control",0,0,0,0,0.166666666666667,"Male"
"307","45-64","White",2,"4-year College Degree","Independent",4,"Moderate","Medium","Diverse But Critiqued",0.666666666666667,0.5,0.666666666666667,0.166666666666667,0,"Female"
"308","65+","White",1,"Some College","Independent",3,"Liberal","High","Control",0.166666666666667,0.25,0.5,0.333333333333333,0.166666666666667,"Male"
"309","18-29","Multiracial",2,"Some College","Independent",5,"Conservative","None","Diverse",0.333333333333333,1,0.333333333333333,0.166666666666667,0,"Female"
"310","45-64","White",2,"Post-Graduate Degree","Independent",3,"Liberal","High","Diverse But Critiqued",0.5,0.5,0.333333333333333,0,0,"Female"
"311","18-29","Asian",2,"Some College","Independent",3,"Moderate","Low","Control",0.333333333333333,0.25,0.5,0.666666666666667,0.166666666666667,"Female"
"312","45-64","White",2,"Post-Graduate Degree","Democrat",1,"Liberal","High","Diverse But Critiqued",0.333333333333333,0.25,1,0.166666666666667,0.166666666666667,"Female"
"313","65+","Multiracial",1,"Some College","Independent",5,"Conservative","High","Diverse But Critiqued",0.5,0.5,0.666666666666667,0.5,0,"Male"
"314","30-44","Hispanic",2,"4-year College Degree","Democrat",1,"Liberal","High","Control",0.166666666666667,0,0.666666666666667,0.166666666666667,0.166666666666667,"Female"
"315","45-64","White",1,"High School Graduate","Republican",6,"Moderate","Medium","Diverse But Critiqued",0.666666666666667,0.5,0.333333333333333,0,0.166666666666667,"Male"
"316","30-44","White",2,"2-year College Degree","Republican",7,"Very Conservative","High","Diverse",0.666666666666667,0.75,0.666666666666667,0,0.5,"Female"
"317","30-44","White",2,"2-year College Degree","Democrat",1,"Very Liberal","High","Diverse But Critiqued",0.833333333333333,0,0,1,0,"Female"
"318","65+","White",1,"4-year College Degree","Independent",4,"Moderate","High","Diverse",0.333333333333333,0.5,0.333333333333333,0.166666666666667,0,"Male"
"319","65+","White",1,"Some College","Independent",5,"Moderate","High","Control",0.333333333333333,0.25,0.5,0,0,"Male"
"320","65+","White",1,"4-year College Degree","Democrat",2,"Moderate","High","Diverse But Critiqued",0.5,0.5,0.666666666666667,0.833333333333333,0,"Male"
"321","65+","White",2,"Post-Graduate Degree","Democrat",1,"Liberal","High","Diverse",0.5,0.75,0.833333333333333,0.166666666666667,0,"Female"
"322","65+","White",2,"4-year College Degree","Democrat",1,"Very Liberal","None","Diverse",0.666666666666667,0.75,0.5,0,0.166666666666667,"Female"
"323","65+","White",1,"High School Graduate","Democrat",1,"Moderate","High","Diverse",0.333333333333333,0.25,0.666666666666667,0.166666666666667,0.333333333333333,"Male"
"324","65+","White",1,"Post-Graduate Degree","Democrat",2,"Moderate","High","Control",0.666666666666667,0.75,0.666666666666667,0.166666666666667,0,"Male"
"325","18-29","White",2,"Some College","Democrat",1,"Very Liberal","High","Control",0.833333333333333,0,0.666666666666667,0,0,"Female"
"326","18-29","White",2,"High School Graduate","Republican",6,"Conservative","Don't Know","Diverse But Critiqued",0.5,0.5,0.5,0.5,0.666666666666667,"Female"
"327","18-29","White",2,"Some College","Republican",7,"Conservative","Medium","Diverse",0.333333333333333,0.75,0.666666666666667,0.166666666666667,0,"Female"
"328","65+","White",2,"Some College","Republican",7,"Very Conservative","High","Diverse But Critiqued",0.5,0.5,0,0,0,"Female"
"329","65+","White",2,"4-year College Degree","Republican",7,"Very Conservative","High","Diverse But Critiqued",0.166666666666667,1,0.5,0,0,"Female"
"330","65+","White",2,"4-year College Degree","Independent",5,"Moderate","Medium","Control",0.333333333333333,0.5,0.333333333333333,0.666666666666667,0.166666666666667,"Female"
"331","45-64","Hispanic",1,"4-year College Degree","Independent",5,"Conservative","High","Control",0.166666666666667,0.5,0,0,0,"Male"
"332","65+","Multiracial",2,"Some College","Democrat",1,"Liberal","High","Control",0.666666666666667,0.75,0.666666666666667,0.833333333333333,0.166666666666667,"Female"
"333","30-44","White",2,"Post-Graduate Degree","Republican",7,"Very Conservative","Low","Diverse But Critiqued",0.666666666666667,0.75,0.333333333333333,0.333333333333333,0,"Female"
"334","45-64","White",2,"Post-Graduate Degree","Democrat",1,"Liberal","High","Diverse",0.666666666666667,0.75,0.666666666666667,0.333333333333333,0,"Female"
"335","65+","White",1,"Some College","Republican",7,"Very Conservative","High","Diverse",0,0,0,0,0.5,"Male"
"336","18-29","Hispanic",2,"Some College","Not Sure",4,"Very Liberal","Medium","Diverse But Critiqued",0.166666666666667,0.5,0.166666666666667,0.5,0.5,"Female"
"337","30-44","White",2,"4-year College Degree","Independent",3,"Moderate","Medium","Control",0.333333333333333,0.25,0.833333333333333,0.5,0,"Female"
"338","30-44","Black",2,"Post-Graduate Degree","Republican",7,"Moderate",NA,"Diverse But Critiqued",0.666666666666667,0.75,0.666666666666667,0.5,0.5,"Female"
"339","65+","White",2,"4-year College Degree","Democrat",1,"Liberal","High","Diverse But Critiqued",0.5,0.25,0.5,0.833333333333333,0.166666666666667,"Female"
"340","45-64","White",1,"4-year College Degree","Republican",7,"Conservative","High","Control",0.333333333333333,0.75,0.166666666666667,0.166666666666667,0,"Male"
"341","45-64","White",1,"4-year College Degree","Independent",5,"Conservative","High","Control",0,0.5,0,0,0,"Male"
"342","45-64","White",1,"Post-Graduate Degree","Democrat",1,"Liberal","High","Diverse But Critiqued",0.333333333333333,0.25,0.166666666666667,0.166666666666667,0,"Male"
"343","65+","White",1,"Some College","Independent",5,"Very Conservative","High","Diverse",0.166666666666667,0.75,0.666666666666667,0.166666666666667,0,"Male"
"344","65+","White",1,"Some College","Independent",5,"Conservative","High","Control",0.5,0.5,0.5,0.666666666666667,0.333333333333333,"Male"
"345","45-64","White",2,"High School Graduate","Democrat",1,"Moderate","High","Diverse",0.666666666666667,0.75,0.666666666666667,0.166666666666667,0.666666666666667,"Female"
"346","45-64","White",1,"4-year College Degree","Independent",5,"Conservative","High","Diverse",0.333333333333333,0.75,0.666666666666667,0,0,"Male"
"347","45-64","White",1,"2-year College Degree","Democrat",1,"Very Liberal","High","Control",0.5,0.25,0.666666666666667,0.666666666666667,0.333333333333333,"Male"
"348","65+","Hispanic",2,"Post-Graduate Degree","Democrat",2,"Moderate","Medium","Diverse",0.666666666666667,0.75,0.833333333333333,0.833333333333333,0.166666666666667,"Female"
"349","30-44","White",2,"4-year College Degree","Democrat",1,"Liberal","Medium","Diverse But Critiqued",0.666666666666667,0.5,0.333333333333333,0.333333333333333,0,"Female"
"350","65+","White",2,"4-year College Degree","Independent",3,"Liberal","High","Diverse",0.166666666666667,0.25,0.333333333333333,0.333333333333333,0,"Female"
"351","45-64","White",1,"4-year College Degree","Republican",7,"Very Conservative","High","Control",0,0.75,0.5,0.5,0.5,"Male"
"352","65+","White",2,"2-year College Degree","Democrat",1,"Very Liberal","High","Control",0.666666666666667,0.25,0.333333333333333,0.333333333333333,0,"Female"
"353","30-44","Hispanic",1,"4-year College Degree","Independent",4,"Moderate","Low","Diverse But Critiqued",0.333333333333333,0.25,0.5,0.333333333333333,0.5,"Male"
"354","18-29","White",1,"High School Graduate","Democrat",2,"Moderate","Medium","Diverse But Critiqued",0.833333333333333,0.75,0.666666666666667,0.833333333333333,0.5,"Male"
"355","65+","White",2,"High School Graduate","Independent",4,"Not Sure","None","Diverse But Critiqued",0.666666666666667,0.75,0.666666666666667,0.5,0,"Female"
"356","65+","White",2,"High School Graduate","Republican",6,"Conservative","Medium","Control",0.666666666666667,0.5,0.833333333333333,0.5,0,"Female"
"357","45-64","White",2,"Some College","Democrat",1,"Liberal","High","Diverse",0.666666666666667,0.75,0.333333333333333,0.166666666666667,0,"Female"
"358","18-29","White",2,"High School Graduate","Not Sure",8,"Not Sure","Don't Know","Control",0.5,0.5,0.5,0.5,0.5,"Female"
"359","45-64","White",1,"4-year College Degree","Independent",4,"Moderate","High","Diverse",0,0.5,0,0,0,"Male"
"360","65+","White",2,"2-year College Degree","Democrat",1,"Liberal","Low","Control",0.666666666666667,0.5,0.5,0.5,0.166666666666667,"Female"
"361","45-64","Black",2,"Post-Graduate Degree","Democrat",1,"Moderate","High","Diverse But Critiqued",0.166666666666667,0.25,0.833333333333333,0.5,0,"Female"
"362","30-44","White",2,"4-year College Degree","Independent",4,"Very Liberal","High","Diverse But Critiqued",0.333333333333333,0,0.666666666666667,0.166666666666667,0.333333333333333,"Female"
"363","65+","White",1,"Some College","Democrat",1,"Liberal","High","Control",0.166666666666667,0.25,0.5,0.666666666666667,0,"Male"
"364","65+","Other",2,"4-year College Degree","Independent",3,"Moderate","High","Diverse But Critiqued",0.5,0.75,0.5,0.666666666666667,0.166666666666667,"Female"
"365","45-64","White",2,"Post-Graduate Degree","Republican",7,"Very Conservative","High","Diverse",0.166666666666667,0.25,0,0,0,"Female"
"366","18-29","White",2,"Less than a High School Diploma","Democrat",2,"Very Liberal","Medium","Diverse",0.666666666666667,0.75,0.5,0.333333333333333,0,"Female"
"367","65+","White",1,"Some College","Independent",4,"Moderate","High","Diverse",0.833333333333333,0.75,0.833333333333333,0.166666666666667,0.166666666666667,"Male"
"368","65+","Multiracial",1,"Post-Graduate Degree","Republican",6,"Conservative","High","Control",0.333333333333333,0.5,0.666666666666667,0,0.166666666666667,"Male"
"369","65+","White",1,"2-year College Degree","Democrat",2,"Moderate","High","Diverse",0.333333333333333,0.75,0.333333333333333,0.333333333333333,0,"Male"
"370","18-29","White",2,"Some College","Democrat",2,"Moderate","None","Diverse But Critiqued",0.666666666666667,0.5,0.333333333333333,0.166666666666667,0,"Female"
"371","30-44","Native American",1,"Some College","Democrat",2,"Liberal","Low","Control",0.166666666666667,0.25,0.666666666666667,0.166666666666667,0.166666666666667,"Male"
"372","45-64","White",2,"High School Graduate","Republican",7,"Very Conservative","None","Diverse But Critiqued",0.666666666666667,0.25,1,0,0.166666666666667,"Female"
"373","45-64","White",2,"4-year College Degree","Republican",7,"Very Conservative","High","Diverse But Critiqued",0,0,0.333333333333333,0.166666666666667,0.166666666666667,"Female"
"374","18-29","White",2,"Some College","Independent",5,"Moderate","Don't Know","Diverse",0.5,0.5,0.5,0.5,0.5,"Female"
"375","18-29","White",2,"High School Graduate","Independent",5,"Moderate","Low","Diverse But Critiqued",0.5,0.5,0.833333333333333,0.5,0.5,"Female"
"376","65+","White",1,"Some College","Independent",4,"Conservative","High","Control",0,0.5,0.666666666666667,0.5,0,"Male"
"377","65+","Other",1,"Some College","Democrat",2,"Moderate","High","Diverse",0.666666666666667,1,0.833333333333333,0.5,0.166666666666667,"Male"
"378","65+","White",1,"Some College","Republican",6,"Conservative","High","Control",0.166666666666667,0.25,0,0,0,"Male"
"379","65+","White",1,"Some College","Independent",5,"Conservative","High","Diverse But Critiqued",0.5,0.5,0.666666666666667,0.333333333333333,0.5,"Male"
"380","30-44","Asian",1,"4-year College Degree","Democrat",1,"Very Liberal","High","Control",0.166666666666667,0.25,0.166666666666667,0.166666666666667,0.666666666666667,"Male"
"381","18-29","Hispanic",1,"High School Graduate","Democrat",2,"Liberal","Low","Diverse",0.833333333333333,0.75,0.833333333333333,1,0.166666666666667,"Male"
"382","18-29","White",1,"High School Graduate","Independent",3,"Very Liberal","High","Diverse But Critiqued",0.333333333333333,0.5,0,0.166666666666667,0,"Male"
"383","65+","White",2,"Post-Graduate Degree","Independent",3,"Liberal","High","Diverse But Critiqued",0.5,0.5,0.333333333333333,0.166666666666667,0.166666666666667,"Female"
"384","65+","White",1,"2-year College Degree","Republican",6,"Conservative","High","Control",0.166666666666667,0.5,0.666666666666667,0,0.166666666666667,"Male"
"385","45-64","White",1,"Post-Graduate Degree","Independent",3,"Very Liberal","Medium","Diverse",0.5,0.75,0.666666666666667,0.5,0,"Male"
"386","65+","White",2,"2-year College Degree","Republican",7,"Very Conservative","High","Control",0.666666666666667,1,1,0,0,"Female"
"387","65+","White",2,"Some College","Republican",7,"Very Conservative","High","Diverse But Critiqued",0.5,0.5,0.666666666666667,0,0,"Female"
"388","45-64","White",2,"4-year College Degree","Democrat",2,"Moderate","High","Control",0.333333333333333,0.25,0.333333333333333,0.333333333333333,0.166666666666667,"Female"
"389","30-44","White",1,"Less than a High School Diploma","Republican",7,"Moderate","High","Control",1,1,1,1,0,"Male"
"390","65+","White",1,"Some College","Republican",7,"Conservative","High","Control",0.333333333333333,0.75,1,0,0.166666666666667,"Male"
"391","18-29","Hispanic",2,"Some College","Democrat",1,"Very Liberal","Medium","Control",0.666666666666667,0.75,0.833333333333333,0.666666666666667,0,"Female"
"392","45-64","Hispanic",1,"4-year College Degree","Independent",4,"Conservative","Low","Diverse But Critiqued",0.666666666666667,0.75,0.666666666666667,0.333333333333333,0.333333333333333,"Male"
"393","65+","White",1,"2-year College Degree","Democrat",1,"Liberal","High","Diverse But Critiqued",0.5,0,0.666666666666667,0,0,"Male"
"394","45-64","Other",1,"Post-Graduate Degree","Republican",7,"Very Conservative","High","Diverse",1,1,0,0,0,"Male"
"395","65+","White",1,"Some College","Independent",4,"Conservative","High","Diverse",0,0,0.166666666666667,0,0.166666666666667,"Male"
"396","65+","White",2,"Post-Graduate Degree","Democrat",1,"Very Liberal","High","Diverse But Critiqued",0.666666666666667,0.75,0.666666666666667,0.333333333333333,0.166666666666667,"Female"
"397","65+","White",1,"Some College","Republican",7,"Very Conservative","High","Control",0,1,0.166666666666667,0.166666666666667,0.166666666666667,"Male"
"398","65+","White",2,"Post-Graduate Degree","Independent",4,"Liberal","High","Diverse",0.5,0.5,0.333333333333333,0.666666666666667,0.166666666666667,"Female"
"399","65+","White",1,"Some College","Democrat",2,"Liberal","High","Diverse",0.833333333333333,0.75,0.833333333333333,0.166666666666667,0,"Male"
"400","30-44","Black",2,"4-year College Degree","Democrat",2,"Liberal","Low","Diverse",0.833333333333333,0.75,0.833333333333333,0.833333333333333,0.166666666666667,"Female"
"401","18-29","White",2,"High School Graduate","Not Sure",8,"Not Sure","Don't Know","Diverse But Critiqued",0,0,0.5,0.5,1,"Female"
"402","45-64","White",2,"Some College","Republican",7,"Conservative","High","Control",0.666666666666667,0.75,0.333333333333333,0.166666666666667,0.166666666666667,"Female"
"403","45-64","White",2,"2-year College Degree","Republican",7,"Conservative","None","Diverse But Critiqued",0,0.5,0,1,0,"Female"
"404","18-29","White",1,"2-year College Degree","Democrat",1,"Liberal","Medium","Diverse But Critiqued",0.666666666666667,0.5,0,0,0,"Male"
"405","18-29","White",2,"Some College","Democrat",1,"Liberal","None","Control",0.333333333333333,0.25,0.5,0.333333333333333,0.166666666666667,"Female"
"406","45-64","White",2,"4-year College Degree","Democrat",1,"Liberal","High","Diverse But Critiqued",0.666666666666667,0.75,0.666666666666667,0.833333333333333,0,"Female"
"407","65+","White",2,"Post-Graduate Degree","Democrat",1,"Very Liberal","High","Diverse",0.666666666666667,0.25,0.833333333333333,0.833333333333333,0,"Female"
"408","65+","White",2,"4-year College Degree","Republican",7,"Conservative","Medium","Diverse",0.666666666666667,0.75,0.5,0.166666666666667,0.333333333333333,"Female"
"409","65+","Black",2,"High School Graduate","Democrat",1,"Liberal","High","Diverse",0.666666666666667,0.75,0.666666666666667,0.166666666666667,0.5,"Female"
"410","65+","White",2,"Post-Graduate Degree","Republican",7,"Very Conservative","High","Diverse",0.5,0.5,0,0.166666666666667,0,"Female"
"411","65+","White",1,"High School Graduate","Republican",6,"Conservative","High","Control",0.166666666666667,0.75,0.166666666666667,0,0,"Male"
"412","65+","White",2,"4-year College Degree","Republican",7,"Conservative","High","Control",0.166666666666667,0.5,0.666666666666667,0.166666666666667,0,"Female"
"413","65+","Multiracial",1,"Post-Graduate Degree","Independent",4,"Conservative","High","Diverse But Critiqued",0.166666666666667,0.75,0.666666666666667,0,0,"Male"
"414","45-64","White",1,"4-year College Degree","Republican",7,"Very Conservative","High","Diverse",0,0,0,0,0,"Male"
"415","65+","White",1,"2-year College Degree","Not Sure",4,"Very Conservative","High","Diverse",0.5,0.5,0.333333333333333,0.666666666666667,0,"Male"
"416","65+","White",2,"Some College","Republican",7,"Very Conservative","High","Control",0.333333333333333,0.75,1,0.5,0,"Female"
"417","30-44","White",2,"High School Graduate","Independent",4,"Very Conservative","Low","Control",0.666666666666667,0.5,0.5,0.5,0.333333333333333,"Female"
"418","65+","White",2,"Post-Graduate Degree","Independent",5,"Very Conservative","High","Diverse",0.333333333333333,0.5,0.333333333333333,0.333333333333333,0,"Female"
"419","65+","White",2,"Some College","Independent",3,"Very Conservative","Medium","Diverse But Critiqued",0.833333333333333,0.75,0.666666666666667,0.5,0.166666666666667,"Female"
"420","65+","White",2,"4-year College Degree","Democrat",1,"Very Liberal","High","Diverse",0.666666666666667,0.75,0.5,0.333333333333333,0.166666666666667,"Female"
"421","45-64","White",2,"Post-Graduate Degree","Independent",4,"Moderate","High","Control",0.333333333333333,0.5,0.333333333333333,0.5,0,"Female"
"422","65+","White",2,"Post-Graduate Degree","Democrat",1,"Liberal","High","Control",0.333333333333333,0.25,0.5,0.166666666666667,0.166666666666667,"Female"
"423","65+","White",2,"Some College","Democrat",1,"Liberal","Medium","Diverse But Critiqued",0.666666666666667,0.75,0.333333333333333,0.166666666666667,0,"Female"
"424","30-44","White",2,"Some College","Republican",6,"Conservative","Medium","Diverse",0,0,0,0,0,"Female"
"425","65+","White",1,"2-year College Degree","Republican",7,"Very Conservative","Low","Control",0.166666666666667,0.25,0.166666666666667,0,0.166666666666667,"Male"
"426","18-29","Black",1,"High School Graduate","Independent",4,"Moderate","Low","Diverse",0.333333333333333,0.25,0.5,0.5,0.166666666666667,"Male"
"427","65+","White",2,"Post-Graduate Degree","Independent",3,"Liberal","High","Diverse But Critiqued",0.5,0.25,0.333333333333333,0.166666666666667,0,"Female"
"428","45-64","White",2,"Post-Graduate Degree","Independent",5,"Conservative","High","Diverse",0,0.5,0,0,0,"Female"
"429","45-64","White",1,"4-year College Degree","Independent",5,"Conservative","High","Control",0.166666666666667,0.5,0,0,0,"Male"
"430","30-44","White",2,"Post-Graduate Degree","Democrat",1,"Very Liberal","Low","Diverse But Critiqued",0.666666666666667,0.75,0.833333333333333,0.833333333333333,0.166666666666667,"Female"
"431","65+","Other",1,"4-year College Degree","Independent",4,"Conservative","High","Diverse But Critiqued",0.333333333333333,0.75,0.333333333333333,0.166666666666667,0,"Male"
"432","65+","White",2,"4-year College Degree","Democrat",1,"Very Liberal","High","Diverse",0.666666666666667,0.75,0.833333333333333,0.5,0.166666666666667,"Female"
"433","45-64","White",2,"4-year College Degree","Democrat",1,"Very Liberal","Medium","Diverse But Critiqued",0.333333333333333,0.25,0.5,0.166666666666667,0.166666666666667,"Female"
"434","18-29","Asian",2,"Post-Graduate Degree","Democrat",1,"Very Liberal","High","Diverse But Critiqued",0.333333333333333,0.5,0.666666666666667,0,0.166666666666667,"Female"
"435","65+","White",2,"Post-Graduate Degree","Independent",4,"Moderate","High","Diverse But Critiqued",0.166666666666667,0.75,0.166666666666667,0,0,"Female"
"436","30-44","Black",2,"4-year College Degree","Democrat",1,"Moderate","None","Diverse",0.5,0.75,0.5,0.333333333333333,0.5,"Female"
"437","45-64","White",2,"Post-Graduate Degree","Democrat",1,"Very Liberal","High","Diverse",0.833333333333333,0.75,0.833333333333333,0.333333333333333,0,"Female"
"438","45-64","White",2,"Post-Graduate Degree","Republican",7,"Conservative","High","Diverse But Critiqued",0,0.5,1,0,0,"Female"
"439","65+","White",1,"4-year College Degree","Democrat",1,"Liberal","High","Control",0.666666666666667,0.75,0.666666666666667,0.166666666666667,0.333333333333333,"Male"
"440","65+","White",2,"Some College","Democrat",2,"Moderate","High","Control",0.333333333333333,0.25,0.166666666666667,0,0,"Female"
"441","65+","White",2,"4-year College Degree","Independent",3,"Liberal","High","Diverse",0.333333333333333,0.75,0.333333333333333,0.166666666666667,0.333333333333333,"Female"
"442","65+","White",1,"High School Graduate","Democrat",1,"Liberal","High","Control",0.833333333333333,0.75,0.833333333333333,0.666666666666667,0.5,"Male"
"443","65+","White",2,"2-year College Degree","Republican",6,"Conservative","Low","Diverse",0.833333333333333,0.75,0.666666666666667,0.166666666666667,0.166666666666667,"Female"
"444","45-64","White",2,"Post-Graduate Degree","Democrat",1,"Liberal","Medium","Diverse",0.666666666666667,0.75,0.166666666666667,0.166666666666667,0,"Female"
"445","45-64","White",2,"4-year College Degree","Independent",4,"Conservative","Medium","Control",0.333333333333333,0.5,0.5,0.333333333333333,0.166666666666667,"Female"
"446","18-29","White",2,"High School Graduate","Democrat",2,"Liberal","Medium","Control",0.666666666666667,0.75,0.833333333333333,0.5,0.5,"Female"
"447","30-44","Asian",1,"4-year College Degree","Democrat",2,"Liberal","Low","Control",0.5,0.75,0.5,0.5,0.5,"Male"
"448","18-29","White",1,"High School Graduate","Democrat",2,"Moderate","Medium","Control",0.833333333333333,0.75,0.833333333333333,0.5,0.166666666666667,"Male"
"449","45-64","White",1,"4-year College Degree","Democrat",1,"Very Liberal","High","Control",0.666666666666667,0.75,0,0,0,"Male"
"450","65+","White",1,"Some College","Democrat",1,"Liberal","High","Diverse But Critiqued",0.666666666666667,0.5,0.166666666666667,0.166666666666667,0,"Male"
"451","30-44","White",2,"4-year College Degree","Independent",3,"Very Liberal","High","Control",0.166666666666667,0,0,0,0,"Female"
"452","65+","White",1,"Some College","Independent",3,"Moderate","High","Diverse",0.166666666666667,0,1,0,0,"Male"
"453","18-29","White",1,"High School Graduate","Democrat",1,"Very Liberal","Don't Know","Diverse",0.666666666666667,0.5,0.5,0.5,0.5,"Male"
"454","30-44","Hispanic",2,"4-year College Degree","Not Sure",8,"Not Sure","Low","Diverse",0.666666666666667,1,0.5,0.166666666666667,0.166666666666667,"Female"
"455","45-64","White",2,"4-year College Degree","Republican",7,"Moderate","High","Diverse But Critiqued",0.333333333333333,0.25,0,0.666666666666667,0,"Female"
"456","65+","White",1,"Some College","Democrat",1,"Liberal","High","Control",0.166666666666667,0.25,0.666666666666667,0.666666666666667,0,"Male"
"457","65+","White",2,"Post-Graduate Degree","Democrat",1,"Liberal","High","Control",0.666666666666667,0.5,0.833333333333333,0.333333333333333,0,"Female"
"458","65+","White",1,"Some College","Republican",7,"Conservative","High","Diverse But Critiqued",0.166666666666667,0.25,0.833333333333333,0.333333333333333,0,"Male"
"459","65+","Other",2,"Post-Graduate Degree","Independent",4,"Moderate","High","Control",0.166666666666667,0.25,0.666666666666667,0.333333333333333,0.166666666666667,"Female"
"460","45-64","Multiracial",2,"4-year College Degree","Independent",4,"Moderate","High","Diverse But Critiqued",0.5,0.5,0.166666666666667,0,0.333333333333333,"Female"
"461","65+","White",1,"Some College","Independent",4,"Liberal","Medium","Diverse But Critiqued",0.333333333333333,0.25,0.833333333333333,0.666666666666667,0,"Male"
"462","30-44","White",2,"4-year College Degree","Republican",7,"Moderate","Low","Control",1,1,1,1,0,"Female"
"463","65+","Black",2,"4-year College Degree","Democrat",2,"Not Sure","Low","Control",0.333333333333333,0,0,0.5,0.5,"Female"
"464","45-64","White",2,"4-year College Degree","Independent",3,"Very Liberal","High","Diverse",0.333333333333333,0.5,0.333333333333333,0.833333333333333,0,"Female"
"465","65+","White",1,"Some College","Democrat",1,"Very Liberal","High","Diverse",0.5,0.75,0.666666666666667,0,0,"Male"
"466","45-64","White",2,"Post-Graduate Degree","Independent",5,"Very Conservative","High","Diverse",0.166666666666667,0.25,0.333333333333333,0.166666666666667,0.333333333333333,"Female"
"467","65+","White",1,"Some College","Independent",5,"Conservative","High","Diverse",0.666666666666667,0.75,0.166666666666667,0.333333333333333,0,"Male"
"468","45-64","White",1,"4-year College Degree","Independent",5,"Very Conservative","High","Diverse",0,0,0,0,0,"Male"
"469","45-64","White",1,"Post-Graduate Degree","Democrat",1,"Very Liberal","High","Control",0.666666666666667,0.75,0.5,0.666666666666667,0,"Male"
"470","18-29","White",1,"2-year College Degree","Independent",3,"Very Liberal","Low","Diverse",0.166666666666667,0.5,0.5,0.333333333333333,0.5,"Male"
"471","45-64","White",2,"Post-Graduate Degree","Independent",4,"Moderate","Medium","Control",0.333333333333333,0.25,0.666666666666667,0.166666666666667,0.166666666666667,"Female"
"472","30-44","White",2,"Post-Graduate Degree","Democrat",1,"Very Liberal","High","Diverse But Critiqued",0.666666666666667,0.25,0.5,0.166666666666667,0.166666666666667,"Female"
"473","65+","White",1,"Some College","Independent",5,"Conservative","High","Diverse But Critiqued",0,0,0,0,0,"Male"
"474","45-64","White",1,"Post-Graduate Degree","Independent",3,"Moderate","High","Diverse But Critiqued",0.333333333333333,0.5,0.333333333333333,0.166666666666667,0,"Male"
"475","45-64","White",1,"Post-Graduate Degree","Republican",6,"Very Conservative","High","Diverse But Critiqued",0.5,0.75,0.333333333333333,0.333333333333333,0,"Male"
"476","30-44","White",2,"4-year College Degree","Democrat",1,"Very Liberal","Medium","Diverse",0.5,0.5,0.666666666666667,0.5,0.333333333333333,"Female"
"477","65+","White",1,"2-year College Degree","Republican",7,"Moderate","High","Diverse",0.666666666666667,0.75,0.5,0.333333333333333,0.5,"Male"
"478","65+","White",1,"Some College","Democrat",1,"Moderate","High","Control",0.666666666666667,0.25,0.666666666666667,0.166666666666667,0.166666666666667,"Male"
"479","18-29","White",2,"High School Graduate","Independent",5,"Moderate","Low","Control",0.666666666666667,0.75,0.666666666666667,0.666666666666667,0.333333333333333,"Female"
"480","45-64","White",2,"4-year College Degree","Independent",3,"Moderate","High","Diverse But Critiqued",0.5,0.5,0.666666666666667,0.166666666666667,0.166666666666667,"Female"
"481","65+","White",1,"Some College","Independent",3,"Moderate","Medium","Control",0.333333333333333,0.75,0.5,0.5,0.333333333333333,"Male"
"482","65+","Native American",1,"4-year College Degree","Independent",5,"Very Conservative","High","Diverse",0.166666666666667,0.5,0,0,0,"Male"
"483","65+","White",1,"Some College","Republican",7,"Conservative","Medium","Diverse But Critiqued",0.666666666666667,0.5,0.166666666666667,0,0,"Male"
"484","65+","White",1,"2-year College Degree","Republican",7,"Very Conservative","High","Control",0.333333333333333,0.25,1,1,0,"Male"
"485","45-64","White",1,"4-year College Degree","Independent",5,"Moderate","High","Diverse",0.5,0.25,0.5,0,0,"Male"
"486","45-64","White",2,"4-year College Degree","Democrat",2,"Moderate","High","Diverse But Critiqued",0.666666666666667,0.25,0.833333333333333,0.666666666666667,0.333333333333333,"Female"
"487","45-64","White",2,"High School Graduate","Republican",7,"Conservative","High","Diverse But Critiqued",0.166666666666667,1,0,0,0,"Female"
"488","45-64","White",2,"2-year College Degree","Independent",3,"Moderate","High","Diverse But Critiqued",0.333333333333333,0.75,0.333333333333333,0.166666666666667,0.166666666666667,"Female"
"489","45-64","White",2,"Post-Graduate Degree","Independent",3,"Liberal","Medium","Control",0.666666666666667,0.75,0.833333333333333,0.5,0,"Female"
"490","18-29","Hispanic",2,"Some College","Independent",3,"Liberal","Medium","Diverse But Critiqued",0.333333333333333,0.25,0.166666666666667,0.333333333333333,0,"Female"
